iter	Passed	Remaining
0	4	4381
1	9	4747
2	13	4520
3	17	4302
4	21	4232
5	26	4336
6	29	4242
7	33	4125
8	50	5546
9	53	5332
10	58	5300
11	62	5138
12	66	5012
13	69	4910
14	74	4905
15	78	4815
16	82	4741
17	85	4687
18	91	4720
19	94	4654
20	99	4616
21	102	4577
22	108	4610
23	112	4565
24	116	4535
25	120	4499
26	124	4476
27	127	4430
28	131	4396
29	135	4365
30	139	4357
31	142	4323
32	146	4292
33	150	4264
34	154	4259
35	158	4235
36	161	4204
37	165	4180
38	169	4188
39	173	4171
40	177	4149
41	180	4127
42	184	4116
43	188	4096
44	192	4076
45	195	4062
46	199	4043
47	204	4049
48	207	4033
49	211	4023
50	215	4008
51	220	4015
52	224	4007
53	227	3990
54	231	3980
55	235	3970
56	239	3958
57	242	3944
58	246	3937
59	250	3928
60	254	3914
61	257	3902
62	261	3887
63	265	3885
64	269	3873
65	272	3858
66	276	3853
67	280	3848
68	285	3847
69	288	3833
70	292	3828
71	296	3822
72	300	3816
73	304	3810
74	308	3806
75	313	3808
76	317	3802
77	320	3792
78	326	3803
79	330	3805
80	335	3803
81	338	3793
82	342	3786
83	346	3779
84	350	3768
85	353	3752
86	356	3738
87	360	3739
88	363	3724
89	367	3714
90	371	3709
91	374	3700
92	378	3695
93	382	3687
94	386	3681
95	390	3674
96	394	3669
97	397	3661
98	401	3652
99	404	3644
100	408	3640
101	413	3639
102	416	3628
103	420	3619
104	424	3619
105	428	3614
106	431	3603
107	435	3596
108	439	3591
109	443	3587
110	446	3578
111	450	3571
112	453	3561
113	458	3560
114	461	3551
115	465	3544
116	468	3537
117	474	3543
118	477	3536
119	481	3530
120	484	3522
121	490	3528
122	493	3520
123	497	3513
124	500	3506
125	505	3508
126	509	3500
127	513	3495
128	516	3487
129	521	3489
130	524	3482
131	530	3485
132	533	3478
133	537	3475
134	541	3468
135	545	3466
136	549	3460
137	553	3456
138	556	3450
139	560	3442
140	563	3435
141	569	3438
142	572	3431
143	575	3423
144	579	3417
145	584	3417
146	587	3411
147	591	3404
148	595	3398
149	599	3398
150	603	3392
151	606	3385
152	610	3379
153	614	3373
154	618	3370
155	621	3362
156	625	3357
