iter	Passed	Remaining
0	162	162000
1	180	90165
2	199	66198
3	218	54309
4	236	47124
5	256	42443
6	275	39079
7	294	36544
8	313	34521
9	326	32358
10	336	30258
11	344	28364
12	351	26689
13	357	25200
14	363	23896
15	370	22755
16	375	21740
17	381	20828
18	387	20011
19	393	19270
20	399	18603
21	404	17994
22	410	17443
23	416	16942
24	422	16473
25	428	16043
26	434	15641
27	439	15270
28	445	14922
29	451	14598
30	457	14292
31	462	14003
32	468	13735
33	474	13475
34	480	13235
35	485	13008
36	491	12798
37	497	12600
38	503	12403
39	509	12218
40	514	12041
41	520	11872
42	526	11714
43	532	11565
44	538	11420
45	543	11278
46	549	11142
47	555	11014
48	561	10891
49	566	10772
50	572	10659
51	578	10553
52	584	10445
53	590	10341
54	596	10240
55	601	10144
56	607	10052
57	613	9965
58	619	9877
59	625	9791
60	630	9707
61	636	9628
62	642	9552
63	648	9481
64	654	9411
65	660	9340
66	665	9273
67	671	9205
68	677	9138
69	683	9075
70	688	9012
71	694	8951
72	700	8895
73	706	8836
74	711	8779
75	717	8724
76	723	8670
77	729	8618
78	735	8570
79	741	8521
80	747	8475
81	752	8428
82	758	8381
83	764	8336
84	770	8291
85	776	8249
86	782	8207
87	787	8165
88	793	8122
89	799	8081
90	805	8042
91	811	8004
92	817	7968
93	822	7931
94	828	7895
95	834	7858
96	840	7822
97	845	7785
98	851	7750
99	857	7717
100	863	7684
101	869	7652
102	874	7618
103	880	7586
104	886	7552
105	892	7523
106	897	7493
107	903	7464
108	909	7435
109	915	7405
110	920	7376
111	926	7348
112	932	7321
113	938	7294
114	944	7266
115	949	7238
116	955	7210
117	961	7184
118	966	7158
119	972	7134
120	978	7109
121	984	7085
122	990	7061
123	996	7038
124	1002	7016
125	1008	6993
126	1013	6969
127	1019	6946
128	1025	6923
129	1031	6901
130	1036	6876
131	1042	6852
132	1048	6832
133	1053	6811
134	1059	6791
135	1065	6769
136	1071	6749
137	1077	6728
138	1083	6708
139	1088	6688
140	1094	6669
141	1100	6648
142	1105	6627
143	1111	6607
144	1117	6587
145	1123	6568
146	1128	6549
147	1134	6530
148	1140	6511
149	1146	6494
150	1152	6477
151	1157	6458
152	1163	6441
153	1169	6423
154	1174	6404
155	1180	6386
156	1185	6367
157	1191	6348
158	1197	6331
159	1202	6314
160	1208	6298
161	1214	6281
162	1220	6264
163	1225	6247
164	1231	6233
165	1238	6220
166	1244	6205
167	1250	6190
168	1256	6179
169	1262	6163
170	1268	6148
171	1274	6133
172	1279	6118
173	1285	6104
174	1291	6089
175	1297	6075
176	1303	6059
177	1309	6045
178	1314	6030
179	1320	6015
180	1326	6001
181	1332	5990
182	1338	5976
183	1344	5962
184	1350	5951
185	1356	5937
186	1362	5924
187	1368	5910
188	1374	5897
189	1380	5883
190	1385	5870
191	1391	5857
192	1397	5844
193	1403	5831
194	1409	5817
195	1415	5804
196	1421	5792
197	1427	5781
198	1433	5768
199	1439	5756
200	1445	5744
201	1450	5731
202	1456	5718
203	1462	5705
204	1468	5693
205	1473	5680
206	1479	5667
207	1485	5656
208	1491	5644
209	1496	5631
210	1502	5619
211	1508	5607
212	1514	5595
213	1520	5584
214	1525	5568
215	1530	5555
216	1536	5544
217	1543	5535
218	1549	5524
219	1554	5512
220	1560	5501
221	1566	5489
222	1572	5478
223	1578	5467
224	1583	5455
225	1589	5444
226	1595	5433
227	1601	5421
228	1607	5410
229	1612	5399
230	1618	5388
231	1624	5377
232	1630	5366
233	1636	5356
234	1642	5345
235	1647	5334
236	1653	5324
237	1659	5313
238	1665	5302
239	1671	5292
240	1677	5281
241	1682	5271
242	1688	5260
243	1694	5250
244	1700	5239
245	1706	5229
246	1711	5219
247	1717	5209
248	1723	5199
249	1729	5189
250	1735	5178
251	1741	5167
252	1746	5157
253	1752	5147
254	1758	5138
255	1764	5128
256	1770	5118
257	1777	5113
258	1783	5103
259	1789	5093
260	1795	5082
261	1800	5072
262	1806	5062
263	1812	5052
264	1817	5042
265	1823	5031
266	1829	5021
267	1834	5011
268	1840	5002
269	1846	4992
270	1852	4982
271	1857	4972
272	1863	4963
273	1869	4953
274	1875	4944
275	1881	4934
276	1886	4924
277	1892	4915
278	1898	4905
279	1903	4895
280	1909	4886
281	1915	4877
282	1922	4871
283	1928	4862
284	1934	4852
285	1940	4845
286	1946	4836
287	1952	4826
288	1957	4816
289	1963	4807
290	1969	4797
291	1975	4788
292	1980	4779
293	1986	4769
294	1992	4760
295	1997	4751
296	2003	4741
297	2008	4732
298	2014	4722
299	2020	4714
300	2026	4705
301	2032	4696
302	2037	4687
303	2043	4679
304	2049	4669
305	2055	4661
306	2061	4652
307	2067	4644
308	2072	4635
309	2078	4626
310	2084	4617
311	2089	4608
312	2095	4599
313	2101	4590
314	2106	4581
315	2112	4571
316	2117	4563
317	2123	4554
318	2129	4545
319	2134	4536
320	2140	4527
321	2146	4519
322	2152	4510
323	2157	4502
324	2163	4493
325	2169	4484
326	2174	4476
327	2180	4467
328	2186	4458
329	2191	4449
330	2197	4441
331	2203	4432
332	2208	4424
333	2214	4416
334	2220	4407
335	2226	4399
336	2232	4391
337	2237	4383
338	2243	4374
339	2248	4365
340	2254	4357
341	2260	4348
342	2265	4340
343	2271	4331
344	2276	4322
345	2282	4313
346	2288	4305
347	2293	4297
348	2299	4288
349	2304	4280
350	2310	4271
351	2315	4262
352	2321	4255
353	2327	4247
354	2333	4239
355	2339	4231
356	2344	4223
357	2350	4214
358	2355	4206
359	2361	4198
360	2367	4190
361	2372	4182
362	2378	4174
363	2384	4166
364	2390	4157
365	2395	4149
366	2401	4141
367	2407	4133
368	2412	4125
369	2418	4117
370	2423	4108
371	2428	4100
372	2433	4091
373	2439	4083
374	2445	4075
375	2450	4067
376	2456	4059
377	2462	4051
378	2468	4044
379	2473	4036
380	2479	4028
381	2485	4020
382	2490	4012
383	2496	4004
384	2502	3997
385	2507	3989
386	2513	3981
387	2519	3973
388	2525	3966
389	2531	3959
390	2537	3951
391	2542	3943
392	2548	3935
393	2553	3928
394	2559	3920
395	2564	3912
396	2570	3904
397	2576	3896
398	2581	3888
399	2587	3880
400	2592	3873
401	2598	3865
402	2604	3857
403	2609	3849
404	2615	3841
405	2620	3834
406	2626	3826
407	2632	3819
408	2637	3811
409	2643	3803
410	2648	3796
411	2654	3788
412	2660	3781
413	2665	3773
414	2671	3765
415	2677	3758
416	2682	3750
417	2688	3743
418	2694	3735
419	2699	3728
420	2705	3721
421	2711	3713
422	2717	3706
423	2722	3698
424	2728	3691
425	2734	3684
426	2739	3676
427	2745	3669
428	2751	3661
429	2756	3654
430	2762	3647
431	2768	3639
432	2773	3632
433	2779	3624
434	2785	3617
435	2791	3610
436	2796	3603
437	2802	3596
438	2808	3588
439	2814	3581
440	2819	3574
441	2825	3567
442	2831	3559
443	2837	3552
444	2842	3545
445	2848	3538
446	2854	3531
447	2860	3523
448	2866	3517
449	2871	3510
450	2877	3502
451	2883	3496
452	2889	3488
453	2894	3481
454	2900	3474
455	2906	3467
456	2912	3460
457	2917	3452
458	2923	3445
459	2929	3438
460	2934	3431
461	2940	3423
462	2945	3416
463	2950	3408
464	2956	3401
465	2961	3393
466	2966	3386
467	2972	3378
468	2977	3371
469	2982	3363
470	2988	3356
471	2994	3349
472	2999	3342
473	3005	3335
474	3010	3327
475	3016	3320
476	3021	3313
477	3027	3306
478	3032	3298
479	3038	3291
480	3044	3284
481	3049	3277
482	3055	3270
483	3060	3263
484	3066	3256
485	3072	3249
486	3077	3241
487	3083	3234
488	3088	3227
489	3094	3221
490	3100	3213
491	3105	3206
492	3111	3199
493	3117	3192
494	3123	3186
495	3128	3179
496	3134	3172
497	3140	3165
498	3145	3158
499	3151	3151
500	3157	3144
501	3162	3137
502	3168	3130
503	3173	3123
504	3179	3116
505	3185	3109
506	3191	3103
507	3198	3097
508	3203	3090
509	3209	3083
510	3215	3076
511	3220	3069
512	3226	3063
513	3232	3056
514	3238	3049
515	3244	3042
516	3249	3035
517	3255	3029
518	3261	3022
519	3266	3015
520	3272	3008
521	3278	3001
522	3283	2994
523	3289	2988
524	3295	2981
525	3300	2974
526	3306	2967
527	3312	2961
528	3318	2954
529	3324	2947
530	3329	2940
531	3335	2934
532	3340	2927
533	3346	2920
534	3352	2913
535	3357	2906
536	3363	2899
537	3369	2893
538	3374	2886
539	3380	2879
540	3386	2873
541	3391	2866
542	3397	2859
543	3403	2852
544	3408	2845
545	3414	2839
546	3420	2832
547	3425	2825
548	3431	2818
549	3436	2811
550	3442	2805
551	3447	2798
552	3453	2791
553	3459	2784
554	3464	2778
555	3470	2771
556	3476	2764
557	3482	2758
558	3487	2751
559	3493	2745
560	3499	2738
561	3505	2731
562	3510	2725
563	3516	2718
564	3522	2711
565	3527	2705
566	3533	2698
567	3539	2691
568	3544	2685
569	3550	2678
570	3556	2671
571	3561	2665
572	3567	2658
573	3573	2652
574	3579	2645
575	3584	2638
576	3590	2632
577	3596	2625
578	3601	2618
579	3607	2612
580	3613	2605
581	3619	2599
582	3624	2592
583	3630	2586
584	3636	2579
585	3641	2572
586	3647	2566
587	3653	2559
588	3658	2553
589	3664	2546
590	3669	2539
591	3675	2533
592	3681	2526
593	3686	2519
594	3692	2513
